day,direction,protocol,state,connections
2022-01-09,inbound,tcp,S2,1282893
2022-01-09,inbound,tcp,S3,195017
2022-01-09,outbound,tcp,SHR,997754
2022-01-09,internal,udp,SF,52827
2022-01-09,internal,tcp,RSTO,31100
2022-01-09,inbound,icmp,OTH,14343358
2022-01-09,internal,tcp,RSTR,12229
2022-01-09,inbound,udp,OTH,49205
2022-01-09,internal,tcp,SF,83788
2022-01-09,inbound,udp,SF,10358081
2022-01-09,internal,tcp,SH,762
2022-01-09,internal,tcp,REJ,2634
2022-01-09,inbound,tcp,SF,8716951
2022-01-09,inbound,tcp,SH,92385
2022-01-09,outbound,tcp,REJ,1619901
2022-01-09,inbound,tcp,RSTO,4565629
2022-01-09,internal,udp,SHR,1552
2022-01-09,internal,tcp,RSTRH,125
2022-01-09,outbound,tcp,RSTOS0,227877
2022-01-09,inbound,tcp,RSTR,2026483
2022-01-09,outbound,tcp,RSTRH,3429710
2022-01-09,outbound,udp,SHR,958127
2022-01-09,inbound,tcp,RSTOS0,416693
2022-01-09,internal,tcp,OTH,2327
2022-01-09,outbound,tcp,OTH,2828227
2022-01-09,outbound,udp,S0,2619588
2022-01-09,inbound,tcp,SHR,32597
2022-01-09,outbound,icmp,OTH,1138687
2022-01-09,internal,tcp,RSTOS0,1893
2022-01-10,inbound,tcp,RSTRH,135880
2022-01-10,outbound,tcp,S0,6491264
2022-01-10,outbound,tcp,S1,3625046
2022-01-10,outbound,tcp,S2,2446513
2022-01-10,outbound,tcp,S3,6042971
2022-01-10,internal,udp,OTH,8
2022-01-10,inbound,tcp,REJ,5528519
2022-01-10,outbound,udp,SF,18337802
2022-01-10,outbound,udp,OTH,5
2022-01-10,outbound,tcp,SF,43539710
2022-01-10,outbound,tcp,SH,637140
2022-01-10,inbound,udp,SHR,215183
2022-01-10,outbound,tcp,RSTO,8211731
2022-01-10,outbound,tcp,RSTR,4687167
2022-01-10,internal,icmp,OTH,421300
2022-01-10,inbound,tcp,OTH,10827178
2022-01-10,internal,udp,S0,31750
2022-01-10,internal,tcp,S0,63638
2022-01-10,internal,tcp,S1,5752
2022-01-10,inbound,udp,S0,57834147
2022-01-10,internal,tcp,S2,9496
2022-01-10,internal,tcp,S3,9333
2022-01-10,inbound,tcp,S0,367065251
2022-01-10,internal,tcp,SHR,1996
2022-01-10,inbound,tcp,S1,1514199
2022-01-10,inbound,tcp,S2,1722867
2022-01-10,inbound,tcp,S3,818298
2022-01-10,outbound,tcp,SHR,1830742
2022-01-10,internal,udp,SF,61257
2022-01-10,internal,tcp,RSTO,42178
2022-01-10,inbound,icmp,OTH,14272155
2022-01-10,inbound,udp,OTH,34
2022-01-10,internal,tcp,RSTR,13692
2022-01-10,internal,tcp,SF,86599
2022-01-10,inbound,udp,SF,7959524
2022-01-10,internal,tcp,SH,4610
2022-01-10,internal,tcp,REJ,10170
2022-01-10,inbound,tcp,SF,11334974
2022-01-10,inbound,tcp,SH,313573
2022-01-10,outbound,tcp,REJ,3924521
2022-01-10,inbound,tcp,RSTO,5247592
2022-01-10,internal,udp,SHR,4907
2022-01-10,internal,tcp,RSTRH,572
2022-01-10,outbound,tcp,RSTOS0,851816
2022-01-10,inbound,tcp,RSTR,2079487
2022-01-10,outbound,tcp,RSTRH,3804452
2022-01-10,outbound,udp,SHR,3002849
2022-01-10,inbound,tcp,RSTOS0,790917
2022-01-10,internal,tcp,OTH,4643
2022-01-10,outbound,tcp,OTH,3801282
2022-01-10,outbound,udp,S0,2371357
2022-01-10,inbound,tcp,SHR,75329
2022-01-10,outbound,icmp,OTH,1493958
2022-01-10,internal,tcp,RSTOS0,5201
2022-01-11,inbound,tcp,RSTRH,142137
2022-01-11,outbound,tcp,S0,6690196
2022-01-11,outbound,tcp,S1,3819178
2022-01-11,outbound,tcp,S2,2545948
2022-01-11,outbound,tcp,S3,6407634
2022-01-11,internal,udp,OTH,13
2022-01-11,inbound,tcp,REJ,5747690
2022-01-11,outbound,udp,SF,18139761
2022-01-11,outbound,udp,OTH,2
2022-01-11,outbound,tcp,SF,42047333
2022-01-11,outbound,tcp,SH,670394
2022-01-11,inbound,udp,SHR,254765
2022-01-11,outbound,tcp,RSTO,8319072
2022-01-11,outbound,tcp,RSTR,4971699
2022-01-11,internal,icmp,OTH,412993
2022-01-11,inbound,tcp,OTH,11899619
2022-01-11,internal,udp,S0,33414
2022-01-11,internal,tcp,S0,59326
2022-01-11,internal,tcp,S1,6381
2022-01-11,inbound,udp,S0,55584857
2022-01-11,internal,tcp,S2,12312
2022-01-11,internal,tcp,S3,11497
2022-01-11,inbound,tcp,S0,387031550
2022-01-11,internal,tcp,SHR,2197
2022-01-11,inbound,tcp,S1,1505009
2022-01-11,inbound,tcp,S2,1731157
2022-01-11,inbound,tcp,S3,895164
2022-01-11,outbound,tcp,SHR,1962182
2022-01-11,internal,udp,SF,60612
2022-01-11,internal,tcp,RSTO,42665
2022-01-11,inbound,icmp,OTH,14172627
2022-01-11,inbound,udp,OTH,15
2022-01-11,internal,tcp,RSTR,13483
2022-01-11,internal,tcp,SF,93538
2022-01-11,inbound,udp,SF,8205239
2022-01-11,internal,tcp,SH,6440
2022-01-11,internal,tcp,REJ,9733
2022-01-11,inbound,tcp,SF,10889495
2022-01-11,inbound,tcp,SH,346431
2022-01-11,outbound,tcp,REJ,3998063
2022-01-11,inbound,tcp,RSTO,5341021
2022-01-11,internal,udp,SHR,5541
2022-01-11,internal,tcp,RSTRH,579
2022-01-11,outbound,tcp,RSTOS0,926431
2022-01-11,inbound,tcp,RSTR,1978561
2022-01-11,outbound,tcp,RSTRH,3718417
2022-01-11,outbound,udp,SHR,3271526
2022-01-11,inbound,tcp,RSTOS0,820034
2022-01-11,internal,tcp,OTH,5553
2022-01-11,outbound,tcp,OTH,6698186
2022-01-11,outbound,udp,S0,2507264
2022-01-11,inbound,tcp,SHR,80815
2022-01-11,outbound,icmp,OTH,1595381
2022-01-11,internal,tcp,RSTOS0,6111
2022-01-12,inbound,tcp,RSTRH,140915
2022-01-12,outbound,tcp,S0,6774466
2022-01-12,outbound,tcp,S1,4000002
2022-01-12,outbound,tcp,S2,2616491
2022-01-12,outbound,tcp,S3,6796511
2022-01-12,internal,udp,OTH,8
2022-01-12,inbound,tcp,REJ,5556669
2022-01-12,outbound,udp,SF,17969436
2022-01-12,outbound,udp,OTH,2
2022-01-12,outbound,tcp,SF,40428813
2022-01-12,outbound,tcp,SH,729479
2022-01-12,inbound,udp,SHR,264030
2022-01-12,outbound,tcp,RSTO,8186698
2022-01-12,outbound,tcp,RSTR,4936799
2022-01-12,internal,icmp,OTH,397224
2022-01-12,inbound,tcp,OTH,16200450
2022-01-12,internal,udp,S0,35543
2022-01-12,internal,tcp,S0,56770
2022-01-12,internal,tcp,S1,6486
2022-01-12,inbound,udp,S0,76804431
2022-01-12,internal,tcp,S2,12226
2022-01-12,internal,tcp,S3,12018
2022-01-12,inbound,tcp,S0,383044217
2022-01-12,internal,tcp,SHR,2257
2022-01-12,inbound,tcp,S1,1443219
2022-01-12,inbound,tcp,S2,1846416
2022-01-12,inbound,tcp,S3,988245
2022-01-12,internal,udp,SF,61365
2022-01-12,outbound,tcp,SHR,2028592
2022-01-12,internal,tcp,RSTO,41455
2022-01-12,inbound,icmp,OTH,14076125
2022-01-12,inbound,udp,OTH,92
2022-01-12,internal,tcp,RSTR,13686
2022-01-12,internal,tcp,SF,89972
2022-01-12,inbound,udp,SF,7053816
2022-01-12,internal,tcp,SH,7086
2022-01-12,internal,tcp,REJ,10105
2022-01-12,inbound,tcp,SF,11043214
2022-01-12,inbound,tcp,SH,397328
2022-01-12,outbound,tcp,REJ,4054654
2022-01-12,inbound,tcp,RSTO,5799194
2022-01-12,internal,tcp,RSTRH,681
2022-01-12,internal,udp,SHR,5956
2022-01-12,outbound,tcp,RSTOS0,990439
2022-01-12,inbound,tcp,RSTR,2128079
2022-01-12,outbound,tcp,RSTRH,3843424
2022-01-12,outbound,udp,SHR,4347371
2022-01-12,inbound,tcp,RSTOS0,1176223
